,,,,,,,,,,,
No,Nama Gereja,Alamat,Kelurahan,Kecamatan,Fasilitas,Kapasitas,Nama Pengkhotbah,Jadwal Ibadah,Kegiatan Gereja,Latitude,Longitude
1,Gereja Masehi Advent Hari Ketujuh (GMAHK),Komp.BTN Pepabri Blok D 10 No.10,Sudiang,Biringkanaya,Alat Musik,200 Orang,Pdt. Davy Politon,Pagi (08.45 - 12.00),"Ibadah Permintaan Doa (Rabu, 19.00)","-5,087934008","119,536384"
,,,,,Gedung Gereja,,,,"Ibadah Rumah Tangga (Minggu, 18.00)",,
,,,,,Pastor 1 Orang,,,,"Ibadah Pemuda (Sabtu, 15.00)",,
,,,,,Halaman Parkir,,,Sore (14.00 - 16.00),"Kaum Wanita (BWA) Bakti Wanita Advent (Minggu, 17.00)",,
,,,,,WC,,,,,,
2,Gereja Kerapatan Pantekosta (GKP),Jl.Katimbang Lr.3,Paccerakkang,Biringkanaya,Alat Musik,150 Orang,Pdt. Yohanes Pangala,Pagi (09.00),"Ibadah Rumah Tangga (Senin, 19.00)","-5,105981786","119,481498"
,,,,,Gedung Gereja,,,,"Ibadah Persekutuan Kaum Pria (PKP) (Selasa, 19.00)",,
,,,,,Pastor 1 Orang,,,,"Ibadah Persekutuan Kaum Wanita (PKW) (Rabu, 19.00)",,
,,,,,Halaman Parkir,,,Malam (19.00),"Ibadah Doa Wiston dan Doa Puasa (Kamis, 19.00)",,
,,,,,WC,,,,"Ibadah Persatuan Kaum Pemuda(i) Remaja (PKMR) (Jumat, 19.00)",,
,,,,,,,,,"Latihan Alat Musik, Singer, Rebana",,
,,,,,,,,,Ibadah Minggu Raya (Minggu),,
3,Gereja Pantekosta di Indonesia (GPDI) El Shaday,Jl.Perintis kemerdekaan No 12,Kapasa,Tamalanrea,Alat Musik,800 Orang,Pdt. Joni Sumarau,Pagi (08.00),"Ibadah Doa (Senin, 19.00)","-4,988013415","119,5308491"
,,,,,Gedung Gereja,,,,"Ibadah Sektor Torsina dan Sion (Selasa, 19.00)",,
,,,,,Pastor 1 Orang,,,,"Ibadah Doa Puasa (Selasa, 08.00)",,
,,,,,Halaman Parkir,,,,"Ibadah Pelwap (Kaum Wanita) (Rabu, 16.30)",,
,,,,,WC,,,,Doa Pelayan (18.30),,
,,,,,,,,Sore (17.00),"Ibadah Sektor Hermon dan Pisga (Kamis, 19.00)",,
,,,,,,,,,"Doa Puasa (Jumat, 08.00 - 15.00)",,
,,,,,,,,,"Latihan Musik (Jumat, 18.00 - 21.00)",,
,,,,,,,,,"Ibadah Remaja (Sabtu, 16.30 - 18.00)",,
,,,,,,,,,"Ibadah Pemuda (Sabtu, 18.30 - 21.00)",,
4,Gereja Betel Tabernakel (GBT) Syalom,Jl.Katimbang Lr. 3,Paccerakkang,Biringkanaya,Gedung Gereja,200 Orang,Pdt. Andi Marsetia Thomassoyan S.Pd.K,Pagi (08.00),"Ibadah Sekolah Minggu (Minggu, 08.45)","-5,137154579","119,5199083"
,,,,,Ruang Serbaguna (Lantai 2),,,,"Ibadah Tengah Minggu (Jumat, 19.00)",,
,,,,,Halaman Perkiran,,,,"Ibadah Kaum Wanita (Kamis, 17.00)",,
,,,,,,,,Sore (18.00),"Ibadah Kaum Muda (Kamis, 19.00)",,
,,,,,,,,,"Ibadah Rumah Tangga (Sabtu, 18.30)",,
,,,,,,,,,"Ibadah Doa Puasa (Sabtu, 16.00)",,
5,Gereja Toraja (GT) Jemaat Biring Romang,Jl. Biring Romang Lr. 8 No.77,Kapasa,Tamalanrea,Gedung Gereja,300 Orang,"Pdt. Firman Panggarra, M.Th.Kons",Pagi (06.00),"Ibadah Sekolah Minggu (Minggu, 08.00)","-5,121150317","119,5012365"
,,,,,Ruang Kantor Gereja (Lantai 2),,,,"Ibadah Keluarga (Senin dan Rabu, 18.00)",,
,,,,,Ruang Sekolah Minggu,,,Malam (18.30),"Ibadah Pemuda PPGT (Selasa, 19.00)",,
,,,,,Halaman Parkir,,,,"Ibadah PKB Kawan Bapak (Kamis, 18.00)",,
,,,,,WC,,,,,,
,,,,,Alat Musik,,,,,,
6,Gereja Toraja Jemaat Sudiang,Jl. Perintis Kemerdekaan KM 17,Sudiang Raya,Biringkanaya,Gedung Gereja,800-1000 Orang,"Pdt. Ezra Sampe, M.Th",Pagi (06.00),"Ibadah Keluarga (Senin-Kamis, 18.00)","-5,092783252","119,525512"
,,,,,Gedung Serbaguna (Lantai 2),,"Pdt. Sila Passalli', M.Th",Pagi (09.00),"Ibadah OIG PWGT (Jumat-Sabtu, 17.00 dan 18.00)",,
,,,,,Ruang Kerja Gereja (Lantai 2),,"Pdt. Ida T. Toban, S.Th, M.M",Sore (16.00),"Ibadah OIG PKBGT (Jumat-Sabtu, 19.00)",,
,,,,,Ruang Aula ,,"Pdt. Hanna Dakka, S.Th",Malam (19.00),"Ibadah OIG PPGT (Jumat-Sabtu, 19.00)",,
,,,,,Ruang PAUD,,,,"Latihan Paduan Suara (Selasa, 19.00)",,
,,,,,Ruang Kesehatan,,,,,,
,,,,,Ruangan OIG (Organisasi Intra Gereja),,,,,,
,,,,,Konsistori Ruang Persiapan Ibadah,,,,,,
,,,,,Toilet,,,,,,
,,,,,Pos Satpam,,,,,,
,,,,,Halaman Parkir,,,,,,
7,Gereja Toraja (GT) Jemaat Tello Batua,Jl. Uripsumoharjo Lr. Sermani,Tello Baru,Panakukang,Gedung Gereja,300-350 Orang,"Pdt. Samuel Lobo, S.Th., M.M",Pagi (06.00),"Latihan Paduan Suara (Senin, 19.00)","-5,142234024","119,4669641"
,,,,,Gedung TK Lantai 1,,Pdt. Rosalina Wanty Palalangan M.Th,Pagi (09.00),"Persiapan Ibadah Rumah Tangga (Senin, 17.00)",,
,,,,,Gedung Kantor Gereja Lantai 2,,,Sore (16.00),"Persiapan Pelayanan dan MC Ibadah PPGT (Senin, 19.00)",,
,,,,,Gedung Aula Lantai 3,,,Malam (18.30),"Persiapan Guru-guru Sekolah Minggu (Selasa, 19.00)",,
,,,,,Ruang OIG,,,,"Ibadah PPGT (Jumat, 19.00)",,
,,,,,Ruang Kesehatan,,,,"Ibadah PWGT (Jumat, 16.00)",,
,,,,,Pastor 1,,,,"Ibadah Rumah Tangga (Rabu dan Kamis, 18.00)",,
,,,,,Konsistori Ruang Persiapan Ibadah,,,,"Latihan Paduan Suara PPGT (Rabu, 19.00)",,
,,,,,Toilet,,,,Latihan Persiapan Ibadah Minggu (Sabtu),,
,,,,,Pos Satpam,,,,,,
,,,,,Halaman Parkir,,,,,,
,,,,,Kantor TK,,,,,,
8,Gereja Pantekosta Di Indonesia (GPDI )Pintu Elok,Jl.Dirgantara,Paropo,Panakkukang,Gedung Gereja,350 Orang,Pdt. Treptosa Helen daCosta,Pagi (08.30),Ibadah Doa Pelayan (Senin),"-5,145427435","119,4576201"
,,,,,Halaman Parkir,,,Malam (18.30),"Ibadah Sektor (Selasa dan Kamis, 18.00)",,
,,,,,Toilet,,,,"Ibadah PELWAP (Rabu, 16.00)",,
,,,,,Pastor 1,,,,"Ibadah Doa dan Puasa (Jumat, 14.00)",,
,,,,,Ruang Serba Guna,,,,"Ibadah Pemuda dan Remaja (Sabtu, 18.00)",,
,,,,,,,,,"Sekolah Minggu (Minggu, 09.00)",,
